# Data from Israelian et al. (2004) https://ui.adsabs.harvard.edu/abs/2004A%26A...421..649I/abstract
# Data prepared by Adriana Zacharova 8.2025
# Star|Teff|logg|ξt|Fe/H|N/H|O/H|N/O
LHS_540|5993|3.88|1.00|-1.48|-1.58||
BD+23°3130|5154|2.93|1.25|-2.66|-2.86|-1.78|-1.08
BD+23°3912|5734|3.83|1.00|-1.50|-1.80|-0.94|-0.86
BD+37°1458|5326|3.30|1.25|-2.17|-1.97|-1.36|-0.61
G64-12|6318|4.20|1.00|-3.05|-1.90|-1.88|-0.02
HD_6582|5296|4.46|1.00|-0.86|-1.05|-0.53|-0.52
HD_19445|6095|4.45|1.00|-2.04|-1.69|-0.82|-0.87
HD_64090|5417|4.55|1.00|-1.74|-1.75|-1.00|-0.75
HD_76932|5859|4.13|1.00|-0.90|-1.12|-0.56|-0.56
HD_87140|5086|2.96|1.25|-1.83|-1.83||-0.56
HD_94028|6058|4.27|1.00|-1.49|-1.34|-0.78|-0.56
HD_103095|5047|4.61|1.00|-1.43|-1.83|-1.06|-0.77
HD_128279|5130|2.85|1.25|-2.11|-2.41||-0.29
HD_134169|5877|3.96|1.00|-0.81|-0.81|-0.52|-0.29
HD_140283|5723|3.68|1.00|-2.47|-2.42|-1.58|-0.84
HD_157214|5715|4.21|1.00|-0.35|-0.45|-0.24|-0.21
HD_165908|5905|4.11|1.00|-0.67|-0.77|-0.63|-0.14
HD_166913|6181|4.18|1.00|-1.68|-1.38|-0.69|-0.69
HD_170153|5954|4.13|1.00|-0.65|-0.86|-0.74|-0.12
HD_188510|5559|4.54|1.00|-1.57|-1.57|-1.01|-0.56
HD_189558|5681|3.81|1.00|-1.12|-1.32|-0.74|-0.58
HD_194598|6029|4.28|1.00|-1.20|-1.10|-0.68|-0.42
HD_201889|5618|4.04|1.00|-0.95|-1.05|-0.80|-0.25
HD_201891|5916|4.26|1.00|-1.05|-0.95|-0.60|-0.35
HD_218502|6182|4.08|1.00|-1.76|-2.06||
HD_211998|5282|3.28|1.25|-1.48|-1.98|-1.27|-0.71
HD_225239|5528|3.74|1.00|-0.50|-0.65|-0.71|0.06
